date,time,t1,h1,t2,h2,t3,h3
2020-01-04,12:12:20, 70.70,29.8,71.96,30.8,71.60,30.2 
2020-01-04,12:12:26, 70.70,29.8,71.96,30.8,71.42,30.1 
2020-01-04,12:12:31, 70.70,29.8,71.96,30.8,71.60,30.2 
2020-01-04,12:12:37, 70.70,29.8,71.78,30.7,71.60,30.2 
2020-01-04,12:12:45, 70.70,29.9,71.96,29.2,71.42,30.1 
2020-01-04,12:12:51, 70.70,29.9,71.96,30.8,71.60,30.2 
2020-01-04,12:12:59, 70.70,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:05, 70.52,29.8,71.96,30.8,71.42,30.2 
2020-01-04,12:13:13, 70.70,29.9,71.96,30.8,71.60,30.2 
2020-01-04,12:13:18, 70.70,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:24, 70.52,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:32, 70.52,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:40, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:13:45, 70.70,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:53, 70.70,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:13:59, 70.52,29.9,71.96,30.8,71.42,30.2 
2020-01-04,12:14:07, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:14:19, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:14:25, 70.52,29.9,71.96,30.9,71.42,30.2 
2020-01-04,12:14:31, 70.52,29.9,71.96,30.9,71.42,30.2 
2020-01-04,12:14:38, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:14:44, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:14:52, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:14:58, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:15:06, 70.52,29.9,71.78,30.8,71.42,30.2 
2020-01-04,12:15:13, 70.52,30.0,71.78,30.8,71.42,30.2 
2020-01-04,12:15:19, 70.52,30.0,71.78,30.8,71.42,30.2 
2020-01-04,12:15:25, 70.52,30.0,71.96,30.9,71.42,30.2 
2020-01-04,12:15:33, 70.52,30.0,71.78,30.8,71.42,30.2 
2020-01-04,12:15:41, 70.52,30.0,71.78,30.8,71.42,30.2 
2020-01-04,12:15:46, 70.52,30.0,71.96,30.9,71.42,30.2 
2020-01-04,12:15:52, 70.52,30.0,71.96,30.9,71.42,30.3 
2020-01-04,12:16:00, 70.52,30.0,71.78,30.8,71.42,30.3 
2020-01-04,12:16:08, 70.34,30.0,71.78,30.8,71.42,30.3 
2020-01-04,12:16:14, 70.52,30.0,71.78,30.8,71.42,30.3 
2020-01-04,12:16:19, 70.52,30.0,71.78,30.8,71.42,30.3 
2020-01-04,12:16:27, 76.28,30.0,71.78,30.8,71.42,30.3 
2020-01-04,12:16:33, 70.52,30.0,71.78,30.9,71.42,30.2 
2020-01-04,12:16:39, 70.52,30.0,71.78,30.9,71.42,30.3 
2020-01-04,12:16:47, 70.52,30.0,71.78,30.9,71.42,30.3 
2020-01-04,12:16:53, 70.52,30.0,71.78,30.9,71.42,30.3 
2020-01-04,12:16:58, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:04, 70.52,29.6,71.78,30.9,71.42,30.4 
2020-01-04,12:17:10, 70.52,30.0,71.78,30.9,71.42,30.3 
2020-01-04,12:17:16, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:22, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:27, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:33, 70.34,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:39, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:45, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:17:53, 70.52,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:18:01, 70.52,30.0,71.60,30.9,71.42,30.4 
